name,alpha-3,country-code,nuclear_names
Armenia,ARM,51,USSR
Azerbaijan,AZE,31,USSR
China,CHN,156,CHINA
Estonia,EST,233,USSR
France,FRA,250,FRANCE
Georgia,GEO,268,USSR
India,IND,356,INDIA
Kazakhstan,KAZ,398,USSR
Kyrgyzstan,KGZ,417,USSR
Latvia,LVA,428,USSR
Lithuania,LTU,440,USSR
"Moldova, Republic of",MDA,498,USSR
Pakistan,PAK,586,PAKIST
Russian Federation,RUS,643,USSR
Tajikistan,TJK,762,USSR
Turkmenistan,TKM,795,USSR
Ukraine,UKR,804,USSR
United Kingdom of Great Britain and Northern Ireland,GBR,826,UK
United States of America,USA,840,USA
Uzbekistan,UZB,860,USSR
