country,latitude,longitude,name
CN,35.86166,104.195397,China
FR,46.227638,2.213749,France
GB,55.378051,-3.435973,United Kingdom
IN,20.593684,78.96288,India
PK,30.375321,69.345116,Pakistan
US,37.09024,-95.712891,United States
AM,40.069099,45.038189,Armenia
AZ,40.143105,47.576927,Azerbaijan
EE,58.595272,25.013607,Estonia
GE,42.315407,43.356892,Georgia
KG,41.20438,74.766098,Kyrgyzstan
KZ,48.019573,66.923684,Kazakhstan
LT,55.169438,23.881275,Lithuania
LV,56.879635,24.603189,Latvia
MD,47.411631,28.369885,Moldova
RU,61.52401,105.318756,Russia
TJ,38.861034,71.276093,Tajikistan
TM,38.969719,59.556278,Turkmenistan
UA,48.379433,31.16558,Ukraine
UZ,41.377491,64.585262,Uzbekistan
