date_long,year,id_no,country,region,source,latitude,longitude,magnitude_body,magnitude_surface,depth,yield_lower,yield_upper,purpose,name,type,detonation_environment
19450716,1945,45001,USA,ALAMOGORDO,DOE,32.54,-105.57,0,0,-0.1,21,21,WR,TRINITY,TOWER,Atmosphere
19450805,1945,45002,USA,HIROSHIMA,DOE,34.23,132.27,0,0,-0.6,15,15,COMBAT,LITTLEBOY,AIRDROP,Atmosphere
19450809,1945,45003,USA,NAGASAKI,DOE,32.45,129.52,0,0,-0.6,21,21,COMBAT,FATMAN,AIRDROP,Atmosphere
19460630,1946,46001,USA,BIKINI,DOE,11.35,165.2,0,0,-0.2,21,21,WE,ABLE,AIRDROP,Atmosphere
19460724,1946,46002,USA,BIKINI,DOE,11.35,165.2,0,0,0.03,21,21,WE,BAKER,UW,Atmosphere
19480414,1948,48001,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.08,37,37,WR,X-RAY,TOWER,Atmosphere
19480430,1948,48002,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.08,49,49,WR,YOKE,TOWER,Atmosphere
19480514,1948,48003,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.08,18,18,WR,ZEBRA,TOWER,Atmosphere
19490829,1949,49001,USSR,SEMI KAZAKH,DOE,48,76,0,0,0,22,22,WR,NA,SURFACE,Atmosphere
19510127,1951,51001,USA,NTS,DOE,37,-116,0,0,-0.35,1,1,WR,ABLE,AIRDROP,Atmosphere
19510128,1951,51002,USA,NTS,DOE,37,-116,0,0,-0.35,8,8,WR,BAKER,AIRDROP,Atmosphere
19510201,1951,51003,USA,NTS,DOE,37,-116,0,0,-0.35,1,1,WR,EASY,AIRDROP,Atmosphere
19510202,1951,51004,USA,NTS,DOE,37,-116,0,0,-0.4,8,8,WR,BAKER2,AIRDROP,Atmosphere
19510206,1951,51005,USA,NTS,DOE,37,-116,0,0,-0.5,22,22,WR,FOX,AIRDROP,Atmosphere
19510407,1951,51006,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.1,81,81,WR,DOG,TOWER,Atmosphere
19510420,1951,51007,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.1,47,47,WR,EASY,TOWER,Atmosphere
19510508,1951,51008,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.07,225,225,WR,GEORGE,TOWER,Atmosphere
19510524,1951,51009,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.07,45.5,45.5,WR,ITEM,TOWER,Atmosphere
19510924,1951,51010,USSR,SEMI KAZAKH,DOE,48,76,0,0,0,38,38,WR,NA,SURFACE,Atmosphere
19511018,1951,51011,USSR,SEMI KAZAKH,DOE,48,76,0,0,0,42,42,WR,NA,AIRDROP,Atmosphere
19511022,1951,51012,USA,NTS,DOE,37,-116,0,0,-0.03,0,0.1,WR,ABLE,TOWER,Atmosphere
19511028,1951,51013,USA,NTS,DOE,37,-116,0,0,-0.4,3.5,3.5,WR,BAKER,AIRDROP,Atmosphere
19511030,1951,51014,USA,NTS,DOE,37,-116,0,0,-0.4,14,14,WR,CHARLIE,AIRDROP,Atmosphere
19511101,1951,51015,USA,NTS,DOE,37,-116,0,0,-0.5,21,21,WR,DOG,AIRDROP,Atmosphere
19511105,1951,51016,USA,NTS,DOE,37,-116,0,0,-0.45,31,31,WR,EASY,AIRDROP,Atmosphere
19511119,1951,51017,USA,NTS,DOE,37,-116,0,0,-0.001,1.2,1.2,WE,SUGAR,SURFACE,Atmosphere
19511129,1951,51018,USA,NTS,DOE,37,-116,0,0,0.01,1.2,1.2,WE,UNCLE,CRATER,Atmosphere
19520401,1952,52001,USA,NTS,DOE,37,-116,0,0,-0.25,1,1,WE,ABLE,AIRDROP,Atmosphere
19520415,1952,52002,USA,NTS,DOE,37,-116,0,0,-0.35,1,1,WE,BAKER,AIRDROP,Atmosphere
19520422,1952,52003,USA,NTS,DOE,37,-116,0,0,-1.15,31,31,WR,CHARLIE,AIRDROP,Atmosphere
19520501,1952,52004,USA,NTS,DOE,37,-116,0,0,-0.35,19,19,WR,DOG,AIRDROP,Atmosphere
19520507,1952,52005,USA,NTS,DOE,37,-116,0,0,-0.1,12,12,WR,EASY,TOWER,Atmosphere
19520525,1952,52006,USA,NTS,DOE,37,-116,0,0,-0.1,11,11,WR,FOX,TOWER,Atmosphere
19520601,1952,52007,USA,NTS,DOE,37,-116,0,0,-0.1,15,15,WR,GEORGE,TOWER,Atmosphere
19520605,1952,52008,USA,NTS,DOE,37,-116,0,0,-0.1,14,14,WR,HOW,TOWER,Atmosphere
19521003,1952,52009,UK,MONTEB AUSTR,DOE,-20.4,115.57,0,0,-0.001,25,25,WE,HURRICANE,SHIP,Atmosphere
19521031,1952,52010,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,10400,10400,WR,MIKE,SURFACE,Atmosphere
19521115,1952,52011,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.5,500,500,WR,KING,AIRDROP,Atmosphere
19530317,1953,53001,USA,NTS,DOE,37,-116,0,0,-0.1,16,16,WR,ANNIE,TOWER,Atmosphere
19530324,1953,53002,USA,NTS,DOE,37,-116,0,0,-0.1,24,24,WR,NANCY,TOWER,Atmosphere
19530331,1953,53003,USA,NTS,DOE,37,-116,0,0,-0.1,0.2,0.2,WR,RUTH,TOWER,Atmosphere
19530406,1953,53004,USA,NTS,DOE,37,-116,0,0,-2,11,11,WR,DIXIE,AIRDROP,Atmosphere
19530411,1953,53005,USA,NTS,DOE,37,-116,0,0,-0.03,0.2,0.2,WR,RAY,TOWER,Atmosphere
19530418,1953,53006,USA,NTS,DOE,37,-116,0,0,-0.1,23,23,WR,BADGER,TOWER,Atmosphere
19530425,1953,53007,USA,NTS,DOE,37,-116,0,0,-0.1,43,43,WR,SIMON,TOWER,Atmosphere
19530508,1953,53008,USA,NTS,DOE,37,-116,0,0,-0.8,27,27,WE,ENCORE,AIRDROP,Atmosphere
19530519,1953,53009,USA,NTS,DOE,37,-116,0,0,-0.1,32,32,WR,HARRY,TOWER,Atmosphere
19530525,1953,53010,USA,NTS,DOE,37,-116,0,0,-0.2,15,15,WR,GRABLE,ATMOSPH,Atmosphere
19530604,1953,53011,USA,NTS,DOE,37,-116,0,0,-0.4,61,61,WR,CLIMAX,AIRDROP,Atmosphere
19530812,1953,53012,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,400,400,WR,NA,SURFACE,Atmosphere
19530823,1953,53013,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,28,28,WR,NA,ATMOSPH,Atmosphere
19530903,1953,53014,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,5.8,5.8,WR,NA,ATMOSPH,Atmosphere
19530908,1953,53015,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,1.6,1.6,WR,NA,ATMOSPH,Atmosphere
19530910,1953,53016,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,4.9,4.9,WR,NA,ATMOSPH,Atmosphere
19531014,1953,53017,UK,EMU AUSTR,DOE,-28.7,132.35,0,0,0,10,10,WR,TOTEM:1,TOWER,Atmosphere
19531026,1953,53018,UK,EMU AUSTR,DOE,-28.7,132.35,0,0,0,8,8,WR,TOTEM:2,TOWER,Atmosphere
19540228,1954,54001,USA,BIKINI,DOE,11.35,165.2,0,0,-0.001,15000,15000,WR,BRAVO,SURFACE,Atmosphere
19540326,1954,54002,USA,BIKINI,DOE,11.35,165.2,0,0,-0.001,11000,11000,WR,ROMEO,BARGE,Atmosphere
19540406,1954,54003,USA,BIKINI,DOE,11.35,165.2,0,0,-0.001,110,110,WR,KOON,SURFACE,Atmosphere
19540425,1954,54004,USA,BIKINI,DOE,11.35,165.2,0,0,-0.001,6900,6900,WR,UNION,BARGE,Atmosphere
19540504,1954,54005,USA,BIKINI,DOE,11.35,165.2,0,0,-0.001,13500,13500,WR,YANKEE,BARGE,Atmosphere
19540513,1954,54006,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,1690,1690,WR,NECTAR,BARGE,Atmosphere
19540914,1954,54007,USSR,ORENBG RUSS,DOE,52,55,0,0,0,40,40,ME,NA,ATMOSPH,Atmosphere
19540929,1954,54008,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0.2,0.2,WR,NA,ATMOSPH,Atmosphere
19541001,1954,54009,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0.03,0.03,WR,NA,ATMOSPH,Atmosphere
19541003,1954,54010,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,2,2,WR,NA,ATMOSPH,Atmosphere
19541005,1954,54011,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,4,4,WR,NA,SURFACE,Atmosphere
19541008,1954,54012,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0.8,0.8,WR,NA,ATMOSPH,Atmosphere
19541019,1954,54013,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,0,0.001,WR,NA,SURFACE,Atmosphere
19541023,1954,54014,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,62,62,WR,NA,ATMOSPH,Atmosphere
19541026,1954,54015,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,2.8,2.8,WR,NA,ATMOSPH,Atmosphere
19541030,1954,54016,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,10,10,WR,NA,SURFACE,Atmosphere
19550218,1955,55001,USA,NTS,DOE,37,-116,0,0,-0.25,1,1,WE,WASP,AIRDROP,Atmosphere
19550222,1955,55002,USA,NTS,DOE,37,-116,0,0,-0.1,2,2,WR,MOTH,TOWER,Atmosphere
19550301,1955,55003,USA,NTS,DOE,37,-116,0,0,-0.1,7,7,WR,TESLA,TOWER,Atmosphere
19550307,1955,55004,USA,NTS,DOE,37,-116,0,0,-0.2,43,43,WR,TURK,TOWER,Atmosphere
19550312,1955,55005,USA,NTS,DOE,37,-116,0,0,-0.1,4,4,WR,HORNET,TOWER,Atmosphere
19550322,1955,55006,USA,NTS,DOE,37,-116,0,0,-0.2,8,8,WR,BEE,TOWER,Atmosphere
19550323,1955,55007,USA,NTS,DOE,37,-116,0,0,0.02,1,1,WE,ESS,CRATER,Atmosphere
19550329,1955,55008,USA,NTS,DOE,37,-116,0,0,-0.2,14,14,WR,APPLE :1,TOWER,Atmosphere
19550329,1955,55009,USA,NTS,DOE,37,-116,0,0,-0.25,3,3,WR,WASP PRIME,AIRDROP,Atmosphere
19550406,1955,55010,USA,NTS,DOE,37,-116,0,0,-12,3,3,WE,HA,AIRDROP,Atmosphere
19550409,1955,55011,USA,NTS,DOE,37,-116,0,0,-0.1,2,2,WR,POST,TOWER,Atmosphere
19550415,1955,55012,USA,NTS,DOE,37,-116,0,0,-0.001,22,22,WE,MET,TOWER,Atmosphere
19550505,1955,55013,USA,NTS,DOE,37,-116,0,0,-0.2,29,29,WR,APPLE:2,TOWER,Atmosphere
19550514,1955,55014,USA,OFFUSWCOAST,DOE,29,-126,0,0,0,30,30,WE,WIGWAM,UW,Atmosphere
19550515,1955,55015,USA,NTS,DOE,37,-116,0,0,-0.2,28,28,WR,ZUCCHINI,TOWER,Atmosphere
19550729,1955,55016,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,1.3,1.3,WR,NA,SURFACE,Atmosphere
19550802,1955,55017,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,12,12,WR,NA,SURFACE,Atmosphere
19550805,1955,55018,USSR,SEMI KAZAKH,MTM,50,78,0,0,0,1.2,1.2,WR,NA,SURFACE,Atmosphere
19550921,1955,55019,USSR,NZ RUSS,DOE,73,55,0,0,0,3.5,3.5,WE,NA,UW,Atmosphere
19551101,1955,55022,USA,NTS,DOE,37,-116,0,0,0,0,0,SE,PROJECT 56:1,SURFACE,Atmosphere
19551103,1955,55023,USA,NTS,DOE,37,-116,0,0,0,0,0,SE,PROJECT 56:2,SURFACE,Atmosphere
19551105,1955,55024,USA,NTS,DOE,37,-116,0,0,0,0,0,SE,PROJECT 56:3,SURFACE,Atmosphere
19551106,1955,55020,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,250,250,WR,NA,ATMOSPH,Atmosphere
19551122,1955,55021,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,1600,1600,WR,NA,ATMOSPH,Atmosphere
19560118,1956,56001,USA,NTS,DOE,37,-116,0,0,-0.001,0,20,SE,PROJECT 56:4,SURFACE,Atmosphere
19560202,1956,56002,USSR,KAZAKH,MTM,46,61,0,0,0,0.3,0.3,WE,NA,SURFACE,Atmosphere
19560316,1956,56003,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,14,14,WR,NA,SURFACE,Atmosphere
19560325,1956,56004,USSR,SEMI KAZAKH,DOE,50,78,0,0,0,5.5,5.5,WR,NA,SURFACE,Atmosphere
19560504,1956,56005,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,40,40,WR,LACROSSE,SURFACE,Atmosphere
19560516,1956,56006,UK,MONTEB AUSTR,DOE,-20.23,115.55,0,0,0,15,15,WR,MOSAIC:Gl,TOWER,Atmosphere
19560520,1956,56007,USA,BIKINI,DOE,11.35,165.2,0,0,-1.5,3800,3800,WR,CHEROKEE,AIRDROP,Atmosphere
19560527,1956,56008,USA,BIKINI,DOE,11.35,165.2,0,0,-0.001,3500,3500,WR,ZUNI,SURFACE,Atmosphere
19560527,1956,56009,USA,ENEWETAK,DOE,11.3,162.15,0,0,0,0.19,0.19,WR,YUMA,TOWER,Atmosphere
19560530,1956,56010,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.1,14.9,14.9,WR,ERIE,TOWER,Atmosphere
19560606,1956,56011,USA,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,13.7,13.7,WR,SEMINOLE,SURFACE,Atmosphere
19560611,1956,56012,USA,BIKINI,DOE,11.35,165.2,0,0,-0.001,365,365,WR,FLATHEAD,BARGE,Atmosphere
